19089,02,04,14,16,20,22,11,851666935,7,6961515,104,165031,321183320,2019-08-01,
19088,13,14,15,21,23,29,13,848907760,18,5697370,77,203777,320442344,2019-07-30,
19087,04,05,07,09,21,30,04,904387916,5,9423734,99,279276,348495228,2019-07-28,
19086,16,22,24,26,28,31,06,868561562,11,6364807,120,156384,318423888,2019-07-25,
19085,01,04,14,18,24,29,04,882276151,12,6519571,61,373665,322387974,2019-07-23,
19084,04,08,14,18,20,27,03,892130280,15,5979203,300,61200,356282880,2019-07-21,
19083,06,15,17,26,28,31,03,926738145,10,6795196,118,190169,329029762,2019-07-18,
19082,07,16,19,22,24,28,02,927370251,5,8270886,91,224648,328221990,2019-07-16,
19081,05,24,27,29,31,32,10,907395563,5,8910511,58,421391,359862504,2019-07-14,
19080,03,06,08,20,24,32,07,878626031,7,6502641,80,164351,333601616,2019-07-11,
19079,01,03,06,09,19,31,16,884700186,15,6163816,156,139881,324952306,2019-07-09,
19078,01,17,27,29,31,33,12,911692755,14,6369078,199,120396,358699764,2019-07-07,
19077,09,11,13,18,21,22,15,928983242,1,10000000,118,221011,331156004,2019-07-04,
19076,12,15,19,20,29,32,14,860745165,4,10000000,84,299030,327737064,2019-07-02,
19075,05,08,20,22,31,33,03,825389586,2,10000000,69,329031,356452390,2019-06-30,
19074,12,21,27,29,31,33,04,777279978,4,10000000,51,558701,339313032,2019-06-27,
19073,01,02,06,12,16,18,08,731798593,17,5684254,146,99591,334373706,2019-06-25,
19072,02,09,13,15,22,30,15,784809688,10,6995170,155,160900,366310328,2019-06-23,
19071,01,08,19,24,29,30,04,779942491,22,5832271,371,61691,338921834,2019-06-20,
19070,06,15,18,19,24,32,09,839590047,3,10000000,103,182464,335727814,2019-06-18,
19069,06,11,16,19,21,25,01,813208375,8,7285184,226,101114,370103190,2019-06-16,
19068,03,14,20,24,26,33,10,802934315,6,8093762,64,362550,331635522,2019-06-13,
19067,04,06,08,11,30,33,11,781887228,5,7973990,110,168976,330381956,2019-06-11,
19066,01,14,17,20,22,32,04,765994853,6,8522847,86,307225,354505682,2019-06-09,
19065,06,09,11,15,20,26,10,737867862,10,6616248,317,63732,327400036,2019-06-06,
19064,12,20,24,25,30,33,12,743421022,4,9064360,92,220889,331639006,2019-06-04,
19063,01,14,19,22,29,31,16,718713061,5,9289366,91,294599,361222550,2019-06-02,
19062,07,13,16,23,26,30,01,684734277,7,8340699,161,181559,339468976,2019-05-30,
19061,03,17,19,24,27,31,12,655425812,6,8443688,80,322845,335296666,2019-05-28,
19060,03,04,14,20,23,27,01,628604946,2,10000000,118,246389,367103342,2019-05-26,
19059,04,05,07,09,16,18,06,561383166,2,10000000,125,162165,345567246,2019-05-23,
19058,07,08,12,21,23,27,12,520571254,20,5260714,127,51321,339299672,2019-05-21,
19057,04,05,06,08,13,18,16,606231938,7,8216242,127,221591,372560948,2019-05-19,
19056,13,14,17,19,21,29,01,579319269,1,10000000,78,245905,351267630,2019-05-16,
19055,01,06,11,15,19,31,10,531777347,2,10000000,61,368485,350070872,2019-05-14,
19054,07,10,11,15,24,26,11,484344441,8,6741103,132,131901,376075414,2019-05-12,
19053,04,16,22,25,29,31,08,486040155,12,5969643,109,133437,345533966,2019-05-09,
19052,03,06,09,13,16,19,16,514041918,153,5117604,2295,9800,342251970,2019-05-07,
19051,08,09,10,13,15,28,09,1229559631,13,5503869,120,68232,371316762,2019-05-05,
19050,04,06,10,11,21,23,02,1276546288,13,6136790,100,184728,311858860,2019-05-02,
19049,03,10,13,22,23,28,15,1300906020,9,6552485,205,85197,333775314,2019-04-30,
19048,03,07,10,12,18,29,10,1307482004,8,7251672,153,147168,379210874,2019-04-28,
19047,03,11,18,25,30,33,14,1297945208,1,10000000,388,69165,349665886,2019-04-25,
19046,02,12,16,22,25,32,06,1227436396,17,5847483,132,136431,349236650,2019-04-23,
19045,01,06,17,19,27,31,14,1272816559,7,8172099,83,334408,380577960,2019-04-21,
19044,06,14,16,17,23,29,07,1246753637,12,5956414,188,76309,350579948,2019-04-18,
19043,01,06,12,13,24,32,13,1275191954,2,10000000,99,249954,345296562,2019-04-16,
19042,15,17,19,22,25,26,04,1220955571,4,10000000,132,195373,376134240,2019-04-14,
19041,02,09,13,23,24,26,16,1183587505,2,10000000,103,274965,347145834,2019-04-11,
19040,05,06,09,18,23,31,11,1118623191,8,6661238,159,104480,335974062,2019-04-09,
19039,06,07,11,14,27,32,08,1122075950,11,6258711,136,127259,363128750,2019-04-07,
19038,09,12,21,27,29,30,05,1138999919,10,6243868,101,153944,335328036,2019-04-04,
19037,01,07,12,14,18,25,10,1154793537,12,6514774,213,106674,344923376,2019-04-02,
19036,02,10,13,16,23,32,08,1164805979,21,5000000,85,6000,383547756,2019-03-31,
19035,01,05,07,09,10,20,16,1269805979,11,7034000,233,120032,354951028,2019-03-28,
19034,09,11,15,22,24,26,03,1263277472,10,6957743,103,237590,354652922,2019-03-26,
19033,09,15,19,21,23,29,15,1259439534,22,6000111,224,122781,385168218,2019-03-24,
19032,04,08,09,13,28,33,04,1308932812,6,8788636,228,124626,353034100,2019-03-21,
19031,03,13,15,18,21,33,16,1276420305,5,9429639,119,232649,358344316,2019-03-19,
19030,04,05,07,10,12,22,16,1240512761,17,6202265,196,130347,392415448,2019-03-17,
19029,08,11,17,23,32,33,10,1269306832,6,8343406,83,302115,358515950,2019-03-14,
19028,04,19,22,26,29,30,11,1244140628,11,6380332,165,115027,356878622,2019-03-12,
19027,02,06,08,10,11,17,13,1257385558,9,7407292,223,121444,393236612,2019-03-10,
19026,03,13,15,19,20,27,14,1242805065,5,6689534,74,201135,345714892,2019-03-07,
19025,15,16,21,27,30,33,04,1246342879,5,9479664,74,378350,345714892,2019-03-05,
19024,01,08,23,25,28,29,10,1209747493,8,6940962,99,196056,384117562,2019-03-03,
19023,01,10,14,15,18,31,13,1207046316,13,6088193,336,52628,353488994,2019-02-28,
19022,03,07,11,21,30,33,07,1233143388,19,5503206,169,70716,338829860,2019-02-26,
19021,02,05,07,08,20,27,04,1301850849,6,8810224,214,133535,370839306,2019-02-24,
19020,02,12,13,23,27,28,12,1268982145,11,6275977,233,75299,330603914,2019-02-21,
19019,03,11,17,18,24,25,06,1285383840,24,5530875,268,59426,326400930,2019-02-19,
19018,04,11,18,19,26,32,04,1370346090,8,7473244,364,67946,349743310,2019-02-17,
19017,04,05,24,28,30,33,09,1355934705,3,9404407,50,330330,312764888,2019-02-14,
19016,05,07,09,11,19,25,05,1334598348,11,6236511,157,108293,314659700,2019-02-12,
19015,11,15,16,20,24,31,04,1352193873,13,6477986,181,132692,386508326,2019-02-03,
19014,01,02,03,14,19,33,03,1364355844,7,7683510,168,139766,327526362,2019-01-31,
19013,05,07,14,16,18,21,01,1347698265,4,10000000,77,363158,332648408,2019-01-29,
19012,07,10,21,23,31,33,14,1303808580,2,10000000,55,472600,370443836,2019-01-27,
19011,10,13,19,21,24,30,07,1245829570,4,8829188,72,265915,340431350,2019-01-24,
19010,02,04,05,08,11,30,02,1223708496,15,5753329,178,79353,336769874,2019-01-22,
19009,01,07,10,22,31,32,15,1267633646,12,7191309,122,269423,376873348,2019-01-20,
19008,02,06,09,13,28,32,12,1255320435,4,9716477,86,274213,342498692,2019-01-17,
19007,06,10,14,15,19,23,15,1223439184,9,7306482,198,131050,340543166,2019-01-15,
19006,01,05,10,19,26,28,12,1211353738,32,5514887,96,214536,375825296,2019-01-13,
19005,21,22,26,28,31,32,07,1326043660,11,6133650,68,229230,343365078,2019-01-10,
19004,08,12,16,19,26,32,03,1346750738,8,7428584,222,109395,338080388,2019-01-08,
19003,13,17,20,21,22,27,01,1333321882,5,9635283,129,224577,373728002,2019-01-06,
19002,04,05,06,08,09,18,11,1294586730,9,7273230,129,198246,345144344,2019-01-03,
19001,06,10,13,15,32,33,15,1283324272,14,6657038,147,197266,341453440,2019-01-01,
18153,01,07,17,23,25,31,11,1289528301,4,10000000,133,205313,363663410,2018-12-30,
18152,04,14,16,23,28,29,03,1247608325,20,5479653,168,71376,342935808,2018-12-27,
18151,05,15,19,25,26,29,15,1321227399,4,9708849,203,115981,345353380,2018-12-25,
18150,06,08,15,19,20,31,05,1289430060,15,6255214,270,87167,377320206,2018-12-23,
18149,01,07,08,10,12,24,01,1312652452,12,6743951,212,123392,353364860,2018-12-20,
18148,03,06,18,19,21,31,01,1315102044,11,6665301,210,109037,346743178,2018-12-18,
18147,03,15,17,23,27,30,11,1319726677,11,6875712,102,252853,378419434,2018-12-16,
18146,02,10,11,17,18,29,16,1317986374,13,6395974,157,144487,345409226,2018-12-13,
18145,03,09,13,22,23,25,06,1333080271,21,5598712,172,91373,349376292,2018-12-11,
18144,08,13,17,18,20,27,13,1403504611,1,10000000,117,241814,387956028,2018-12-09,
18143,04,06,15,28,32,33,14,1328627871,16,6480336,117,253048,373157016,2018-12-06,
